income,employment_length,loan_amount,loan_interest_rate,credit_history_length,max_allowed_loan
38790,2,10400,11.71,3,32247
33280,4,6000,13.23,2,32254
26400,3,6000,6.92,9,32258
20400,3,2000,13.49,12,32267
43000,5,15000,11.48,2,32273
43000,6,15000,9.88,4,32273
31000,2,8000,11.26,3,32277
30000,0,5200,13.49,4,32282
30000,0,5200,15.96,3,32282
30000,6,5200,15.27,4,32282
33000,6,4000,7.88,2,32286
33000,0,4000,11.86,2,32286
33000,6,4000,6.39,4,32286
30000,6,2200,8.9,3,32289
28800,0,8000,8.59,8,32295
38400,5,8000,16.0,4,32301
30000,6,5175,6.03,3,32307
22800,0,5075,10.25,15,32310
32000,10,9250,7.51,4,32325
40000,3,11650,11.99,4,32326
36000,3,7250,6.62,3,32331
25440,5,2000,12.61,9,32332
33000,0,5600,10.95,4,32333
29000,6,1000,15.27,2,32343
36194,10,9250,10.08,3,32351
31500,9,7000,10.59,3,32354
32500,0,5000,8.94,3,32359
24000,2,6000,12.61,9,32375
24000,3,6000,8.49,8,32375
35000,8,9600,7.49,4,32376
36000,3,9000,6.62,3,32378
36000,6,9000,9.99,4,32378
36000,0,9000,9.63,4,32378
36000,5,9000,10.0,4,32378
40000,3,9600,11.26,4,32379
32000,5,6000,11.12,3,32381
32000,0,6000,8.94,3,32381
32000,1,6000,13.49,4,32381
34000,6,5000,10.75,3,32384
34000,6,5000,6.91,3,32384
34000,6,5000,5.42,3,32384
28000,3,4000,11.14,3,32384
28000,1,4000,7.74,4,32384
28000,3,4000,15.62,4,32384
28000,8,4000,13.49,4,32384
30000,2,3600,7.74,4,32386
30000,3,3600,11.34,4,32386
30000,0,3600,11.71,2,32386
30000,0,3600,8.88,2,32386
37200,4,8500,5.79,4,32400
29760,11,7750,7.66,10,32402
24000,4,4750,6.17,5,32429
37000,6,6400,7.14,2,32433
32400,1,4800,11.11,4,32444
33600,5,2800,13.49,3,32469
34992,6,6000,9.99,2,32474
34000,4,10000,12.42,3,32475
34000,9,10000,10.0,4,32475
20000,2,4500,8.0,14,32475
30000,2,8000,14.26,10,32476
30000,2,8000,13.49,5,32476
30000,2,8000,12.42,9,32476
30000,2,8000,7.51,8,32476
30000,6,8000,7.29,10,32476
30000,3,8000,11.71,9,32476
30000,3,8000,10.99,7,32476
32000,7,7500,8.38,2,32478
30000,6,6500,10.99,3,32479
25000,2,5000,7.88,8,32479
25000,0,5000,11.66,7,32479
30000,5,5000,6.62,2,32482
30000,2,5000,11.99,4,32482
30000,3,5000,10.99,2,32482
30000,2,5000,13.72,3,32482
30000,2,5000,7.66,4,32482
30000,3,5000,7.88,2,32482
30000,3,5000,10.74,2,32482
30000,3,5000,7.49,3,32482
30000,1,5000,13.79,3,32482
30000,6,5000,11.86,3,32482
30000,4,5000,15.99,3,32482
30000,4,5000,11.71,2,32482
30000,0,5000,7.9,4,32482
30000,4,5000,10.0,4,32482
30000,2,5000,11.86,4,32482
30000,0,5000,10.62,2,32482
30000,1,5000,8.0,3,32482
35000,1,6000,11.49,4,32483
35000,2,6000,12.53,4,32483
35000,6,6000,11.99,2,32483
35000,1,6000,11.99,2,32483
35000,6,6000,15.27,4,32483
30000,0,3500,11.49,3,32486
30000,0,2000,14.65,4,32490
30000,0,2000,7.9,4,32490
30000,7,2000,10.36,3,32490
30000,2,2000,8.94,3,32490
30000,4,2000,6.62,2,32490
30000,4,2000,13.98,3,32490
25200,3,1500,10.25,5,32510
33504,3,6000,7.75,4,32512
36996,7,10000,7.49,2,32522
37000,4,10000,7.66,4,32527
37000,4,10000,7.88,3,32527
37000,7,10000,7.14,2,32527
37000,2,10000,5.79,3,32527
37000,2,10000,7.88,3,32527
37000,6,10000,5.42,3,32527
29200,2,2500,6.76,2,32528
35000,3,4200,12.42,3,32536
37008,4,10000,14.22,4,32536
31200,1,8000,10.59,2,32537
19200,0,2000,10.59,12,32554
30000,5,1925,10.99,3,32565
24000,1,7000,7.66,5,32572
24000,0,7000,12.92,5,32572
24000,17,7000,7.74,9,32572
44760,2,14400,7.51,4,32573
38000,8,13000,6.92,2,32573
28000,1,8000,5.79,9,32574
32000,0,9000,8.59,3,32575
42000,5,11500,10.99,3,32577
29000,2,5100,11.49,4,32581
36000,2,7000,7.9,4,32582
36000,3,7000,11.49,3,32582
36000,5,7000,7.9,3,32582
36000,3,7000,5.99,2,32582
36000,6,7000,12.61,2,32582
34000,5,4800,11.83,4,32585
25000,6,2400,10.74,5,32586
25000,2,2400,13.48,5,32586
30996,2,1500,7.05,2,32587
28500,1,1600,13.99,3,32590
31000,3,1500,14.27,3,32591
24000,0,1000,9.63,7,32591
28000,8,1000,6.39,2,32592
35100,4,6000,13.49,3,32593
27120,0,4000,13.11,8,32595
36000,9,12375,7.66,4,32597
22800,1,5000,13.57,5,32597
36200,5,9000,9.99,2,32608
25500,1,1800,13.85,6,32614
27600,4,6000,11.71,9,32618
37308,0,8400,10.99,4,32619
33600,5,6000,10.59,3,32622
26400,11,3000,13.72,10,32625
30996,7,3000,9.63,4,32633
34482,3,7000,7.51,3,32635
30000,3,3350,13.06,3,32636
31200,2,3200,5.79,4,32667
31200,4,3200,7.88,3,32667
45000,5,14550,11.83,3,32675
30000,2,7800,11.83,8,32676
37000,3,8000,12.69,4,32680
37000,2,8000,10.0,2,32680
30000,9,4800,12.42,4,32683
33000,5,3600,11.11,4,32687
34000,0,3000,5.42,3,32688
30000,0,1800,11.49,2,32690
29140,1,2250,12.73,3,32707
55000,5,25000,13.49,2,32717
24996,2,6000,10.75,10,32720
35000,9,11000,7.88,3,32724
30996,2,6000,6.62,3,32726
35000,8,9250,9.91,3,32727
35000,1,7500,11.34,2,32730
31000,0,6000,7.14,2,32731
29000,6,3500,14.17,3,32735
35000,5,4000,9.32,4,32737
35000,0,4000,7.9,3,32737
35000,5,4000,6.91,3,32737
35000,4,4000,10.59,2,32737
35004,0,4000,16.0,2,32741
25800,2,8500,13.92,8,32750
31970,0,4000,9.99,3,32751
32000,4,12000,11.99,5,32769
26000,0,7500,13.23,8,32773
40000,2,11200,13.49,2,32777
40000,4,11200,11.71,3,32777
38000,6,9000,7.51,3,32779
36000,7,8600,6.91,4,32779
34000,8,8000,7.9,2,32779
34000,2,8000,9.32,2,32779
32000,3,7200,11.99,3,32779
33000,2,6800,7.51,3,32780
28000,5,5000,10.75,10,32781
32000,0,5600,7.51,2,32782
36000,5,5000,7.51,2,32785
36000,3,5000,15.99,4,32785
36000,5,5000,13.23,2,32785
32000,7,4000,7.14,2,32785
32000,1,4000,8.32,4,32785
30000,1,3200,8.07,4,32786
24000,0,2000,13.49,5,32787
24000,2,2000,13.99,6,32787
29004,1,2000,11.49,2,32794
30000,5,7675,10.0,6,32801
28596,0,1500,7.29,3,32806
33198,3,7000,14.27,2,32818
33000,9,8400,6.99,4,32827
30873,8,4200,6.62,2,32832
37000,4,6000,10.62,2,32834
33000,2,1800,9.88,2,32841
30000,5,10625,11.99,10,32845
32388,1,6000,10.71,4,32847
27200,2,2500,10.99,2,32847
21600,0,6000,7.88,17,32852
35400,8,9600,6.03,4,32856
28800,2,6000,10.99,9,32859
28800,4,6000,10.59,8,32859
28800,2,6000,12.23,7,32859
27600,0,3000,7.88,2,32866
50000,0,10500,13.49,9,59471
38000,2,7000,13.49,7,59471
55000,10,12000,12.42,4,59472
55000,1,12000,9.91,2,59472
55000,10,12000,8.0,2,59472
60000,2,12500,10.59,2,59473
45000,2,8000,9.63,7,59473
42996,2,5000,8.0,7,59473
45000,5,8000,11.12,6,59473
45000,0,8000,12.87,7,59473
40000,2,6500,5.79,8,59473
40000,1,6500,7.29,7,59473
70000,5,14000,9.99,4,59475
65000,6,12000,7.88,3,59476
65000,6,12000,6.91,2,59476
65000,1,12000,10.0,3,59476
65000,0,12000,12.69,2,59476
65000,5,12000,5.79,4,59476
65000,1,12000,11.36,2,59476
65000,6,12000,7.49,2,59476
65000,6,12000,13.99,2,59476
65000,5,12000,7.49,2,59476
65000,0,12000,8.9,4,59476
50000,1,8000,12.87,9,59476
50000,4,8000,7.49,6,59476
48000,3,2500,9.91,12,83882
70000,5,3600,13.85,3,83885
67000,3,3200,7.14,3,83885
64000,9,2500,10.99,5,83887
68400,10,5000,15.33,3,83902
99000,5,20000,15.28,2,83920
55000,2,6800,12.53,8,83923
47000,1,3000,10.74,11,83930
77964,4,9600,14.42,3,83933
60000,19,21000,12.42,9,83949
60000,11,6025,13.49,8,83952
72000,14,24000,11.83,10,83954
80000,5,24000,13.92,8,83958
75000,13,21000,11.48,6,83959
75000,2,21000,12.42,10,83959
60000,0,15000,13.06,9,83960
60000,0,15000,13.57,7,83960
60000,1,15000,11.83,9,83960
60000,4,15000,16.49,8,83960
69996,12,14000,11.11,7,83961
90000,8,24000,11.49,2,83963
80000,3,20000,11.12,3,83963
80000,5,20000,11.36,4,83963
80000,3,20000,13.98,3,83963
80000,4,20000,11.89,4,83963
66000,10,15000,11.99,10,83963
60000,2,12000,13.22,6,83965
60000,3,12000,13.49,8,83965
60000,0,12000,13.98,9,83965
60000,3,12000,5.79,6,83965
60000,4,12000,6.03,9,83965
60000,16,12000,6.54,7,83965
60000,2,12000,6.99,6,83965
60000,5,12000,7.49,8,83965
70000,1,14000,13.22,10,83967
70000,5,14000,12.68,10,83967
64000,11,12000,14.83,8,83967
55000,0,9500,9.63,8,83967
85000,7,18000,11.71,4,83968
80000,3,16000,10.38,4,83968
80000,7,16000,13.49,3,83968
80000,0,16000,10.99,4,83968
80000,4,16000,16.49,3,83968
60000,15,9000,7.49,8,83971
60000,4,9000,8.49,5,83971
60000,1,9000,7.14,7,83971
60000,3,9000,13.47,8,83971
60000,4,9000,5.79,6,83971
62000,4,9000,10.74,6,83972
50000,5,6000,15.62,11,83972
50000,15,6000,7.14,13,83972
50000,2,6000,9.25,13,83972
50000,0,6000,8.49,15,83972
50000,8,6000,10.37,11,83972
50000,2,6000,9.91,16,83972
50000,6,6000,7.14,13,83972
50000,2,6000,5.79,13,83972
90000,6,15000,10.38,3,83973
90000,6,15000,7.88,4,83973
90000,2,15000,8.94,3,83973
80000,5,12000,5.42,4,83974
80000,8,12000,7.49,2,83974
80000,8,12000,5.79,2,83974
80000,2,12000,7.88,2,83974
80000,3,12000,7.66,4,83974
80000,5,12000,5.99,2,83974
80000,5,12000,7.49,4,83974
80000,5,12000,12.42,4,83974
80000,6,12000,9.99,4,83974
80000,8,12000,13.99,2,83974
80000,0,12000,6.54,4,83974
80000,3,12000,7.49,4,83974
80000,6,12000,10.99,3,83974
80000,8,12000,7.29,3,83974
80000,4,12000,7.51,3,83974
80000,8,12000,6.62,3,83974
80000,8,12000,10.36,3,83974
80000,2,12000,10.59,4,83974
75600,9,10500,12.09,3,83974
78000,2,9600,7.51,2,83976
78000,1,9600,11.26,4,83976
65000,5,7000,11.49,9,83977
65000,5,7000,10.37,7,83977
65000,3,7000,14.65,9,83977
65000,3,7000,11.49,8,83977
65000,4,7000,15.95,8,83977
65000,12,7000,12.73,7,83977
65000,5,7000,5.79,7,83977
65000,1,7000,6.03,5,83977
60000,14,6000,9.99,9,83977
60000,4,6000,5.79,5,83977
60000,14,6000,10.75,9,83977
60000,11,6000,7.9,10,83977
60000,13,6000,6.62,9,83977
60000,14,6000,7.14,8,83977
60000,5,6000,7.88,5,83977
60000,4,6000,11.99,6,83977
60000,11,6000,5.79,5,83977
60000,11,6000,7.14,8,83977
60000,3,6000,5.99,10,83977
60000,7,6000,10.0,5,83977
60000,2,6000,10.39,8,83977
60000,2,6000,8.94,7,83977
60000,3,6000,5.99,9,83977
60000,6,6000,10.37,9,83977
60000,4,6000,13.11,5,83977
60000,7,6000,14.72,8,83977
60000,3,6000,7.88,7,83977
60000,6,6000,7.14,5,83977
60000,7,6000,15.99,6,83977
70000,4,7000,7.74,3,83978
70000,0,7000,8.94,2,83978
70000,8,7000,8.9,3,83978
80000,0,8000,9.63,2,83979
80000,7,8000,11.49,3,83979
80000,1,8000,13.61,4,83979
80000,7,8000,7.51,4,83979
80000,1,8000,11.12,3,83979
80000,5,8000,5.99,2,83979
80000,7,8000,13.22,3,83979
80000,6,8000,10.59,3,83979
80000,3,8000,13.61,2,83979
80004,8,12000,7.29,3,83979
55000,7,4000,5.42,9,83980
75000,5,6000,11.49,4,83981
75000,8,6000,11.14,2,83981
75000,2,6000,10.99,2,83981
75000,5,6000,5.99,4,83981
75000,9,6000,9.91,3,83981
75000,4,6000,11.48,2,83981
75000,2,6000,6.03,3,83981
75000,8,6000,10.59,4,83981
75000,8,6000,10.95,4,83981
75000,8,6000,15.23,4,83981
75000,1,6000,12.99,3,83981
75000,6,6000,13.49,4,83981
75000,8,6000,11.71,3,83981
75000,2,6000,7.29,3,83981
75000,4,6000,8.49,4,83981
72000,9,6000,7.88,2,83981
72000,9,6000,7.88,2,83981
72000,1,6000,13.35,2,83981
72000,7,6000,10.59,3,83981
72000,3,6000,11.12,4,83981
72000,5,6000,11.99,3,83981
58800,0,13000,6.54,8,83982
48000,0,2400,10.36,14,83982
60000,2,3000,10.75,5,83984
60000,1,3000,12.18,8,83984
60000,0,3000,12.53,9,83984
60000,5,3000,5.99,5,83984
60000,4,3000,9.32,6,83984
60000,1,3000,5.99,8,83984
60000,0,3000,7.51,9,83984
58000,9,3000,8.9,7,83984
70000,2,3500,10.0,3,83985
80000,0,4000,6.17,4,83986
80000,6,4000,12.99,4,83986
80000,4,4000,12.69,2,83986
72000,8,2400,13.36,4,83988
72000,3,2400,10.65,3,83988
72000,7,2400,13.57,3,83988
72000,8,2400,14.79,3,83988
50000,3,10000,6.62,17,83990
50000,2,4000,11.36,15,83993
86700,2,20000,12.99,4,84006
63600,1,5000,10.39,7,84020
57000,0,14000,9.91,13,84030
78386,3,10000,6.91,4,84039
62000,4,12000,6.62,10,84066
62000,4,12000,11.71,7,84066
62000,2,12000,11.86,5,84066
77000,2,16000,10.99,3,84067
54000,3,5000,7.66,6,84077
66000,11,5000,13.99,7,84081
70000,6,3400,5.99,2,84085
67000,5,3000,8.9,2,84086
73426,7,15000,13.57,7,84092
77500,7,5000,7.49,2,84109
63500,4,1600,13.85,10,84114
67000,7,13000,14.11,9,84117
63000,3,7200,13.06,8,84125
75000,9,9600,7.49,4,84126
75000,5,9600,7.66,2,84126
75000,9,9600,5.42,2,84126
94692,5,20000,13.49,2,84130
49800,2,3000,7.88,8,84131
65000,6,3600,10.99,10,84134
65000,12,3600,9.99,5,84134
65000,9,3600,7.49,9,84134
83000,0,3000,11.97,10,84138
52000,3,12000,10.37,13,84159
52000,5,12000,9.91,16,84159
62000,6,15000,13.85,9,84161
62000,16,15000,10.25,7,84161
73000,9,18000,15.31,5,84162
69743,3,3000,9.91,4,84165
70000,7,13800,9.88,7,84167
49000,8,4000,12.18,14,84177
82000,6,6000,8.88,4,84183
82000,1,6000,7.51,3,84183
82000,2,6000,11.99,4,84183
78000,7,5500,8.0,4,84183
78000,7,5500,5.42,2,84183
54996,4,6000,12.99,15,84186
78513,0,10000,11.03,2,84192
84000,3,25000,13.8,29,84200
55000,5,12000,7.88,5,84212
55000,11,12000,10.65,6,84212
95000,4,25000,10.99,4,84214
95000,3,25000,18.78,2,84214
75000,0,17000,13.49,7,84215
65000,3,10000,10.37,5,84221
65000,4,10000,7.9,8,84221
65000,3,10000,11.49,5,84221
65000,6,10000,12.42,10,84221
65000,11,10000,7.49,6,84221
65000,3,10000,5.42,6,84221
65000,5,10000,7.51,10,84221
65000,5,10000,10.65,6,84221
65000,2,10000,12.73,6,84221
65000,1,10000,5.79,8,84221
65000,5,10000,13.49,8,84221
65000,5,10000,10.25,9,84221
65000,2,10000,10.37,6,84221
65000,11,10000,13.49,9,84221
65000,4,10000,14.27,9,84221
65000,0,10000,11.49,9,84221
65000,4,10000,15.96,5,84221
65000,4,10000,7.49,8,84221
65000,1,10000,12.42,9,84221
65000,13,10000,14.27,9,84221
65000,3,10000,6.92,8,84221
77000,6,12000,7.29,2,84223
94050,1,19200,11.97,2,84225
52692,9,2700,7.4,9,84225
51000,4,5000,8.88,8,84225
55152,4,15000,12.61,17,84230
58500,1,3500,7.74,9,84232
47000,8,6000,10.99,17,84232
65000,2,3500,6.92,7,84234
65000,2,3500,7.88,8,84234
44000,13,2000,10.59,14,84234
85000,5,5000,7.43,3,84235
51621,5,3500,11.49,6,84236
51621,5,3500,11.49,10,84236
75000,1,2000,7.49,4,84240
55000,15,1000,9.99,6,84240
70000,0,6725,6.62,4,84254
74500,4,20000,14.61,5,84260
75000,6,13200,9.99,4,84270
48000,3,9800,7.51,12,84270
82000,5,10000,7.51,3,84277
56000,1,2500,11.49,9,84285
62004,3,2500,7.66,9,84292
73580,3,15000,11.89,10,84300
87000,9,24400,10.99,3,84311
51000,3,10000,10.75,14,84313
51000,2,10000,13.47,12,84313
78000,0,1475,10.25,2,84317
71000,4,11500,12.42,7,84321
87000,0,7000,10.59,3,84332
54000,6,8000,7.51,29,84337
75500,8,10000,10.25,2,84350
62256,1,9000,10.59,10,84356
72000,4,20000,10.38,7,84359
72000,2,20000,11.36,10,84359
87000,9,20000,16.32,4,84366
78000,4,17000,13.16,2,84366
59000,6,10000,7.51,5,84368
68000,1,10800,7.9,6,84371
60000,5,5600,12.69,5,84378
55000,5,3600,7.29,10,84381
75000,4,5600,10.38,2,84382
48000,2,2000,11.49,14,84384
62000,12,2400,7.88,7,84386
60000,6,14000,6.17,17,84390
57000,2,9600,5.42,5,84418
53000,6,3000,7.51,7,84432
53000,1,3000,10.99,5,84432
65000,0,3300,7.51,7,84434
75000,1,1800,11.49,2,84440
64600,12,9200,7.88,5,84442
69996,12,24000,9.62,9,84446
80400,5,12000,7.29,3,84454
80400,5,12000,5.79,3,84454
55000,3,3525,14.27,8,84456
69600,11,6000,7.9,2,84460
54996,5,9000,6.91,6,84461
70000,1,17000,11.12,10,84462
70000,2,17000,8.59,9,84462
54000,18,10000,16.29,9,84465
65000,9,13000,11.49,8,84466
65000,8,13000,16.77,6,84466
50000,4,8000,7.74,15,84467
50000,5,8000,10.62,12,84467
50000,0,8000,10.62,13,84467
50000,21,8000,11.71,15,84467
50000,1,8000,8.49,15,84467
90000,7,19000,8.94,4,84468
95000,7,20000,10.62,3,84469
75000,5,13000,12.18,3,84470
65004,0,13000,7.51,9,84472
52000,0,6500,13.06,7,84472
70000,4,10000,6.03,7,84473
70000,5,10000,7.29,9,84473
70000,0,10000,10.99,6,84473
70000,4,10000,10.25,10,84473
70000,0,10000,8.59,6,84473
70000,4,10000,10.99,10,84473
70000,0,10000,8.59,8,84473
70000,6,10000,6.99,5,84473
70000,5,10000,12.69,6,84473
70000,6,10000,15.33,9,84473
70000,4,10000,9.88,5,84473
70000,4,10000,10.95,8,84473
70000,11,10000,7.51,9,84473
70000,6,10000,13.49,8,84473
70000,2,10000,11.11,6,84473
70000,6,10000,14.59,8,84473
70000,4,10000,10.25,9,84473
70000,4,10000,13.72,5,84473
70000,6,10000,5.42,9,84473
70000,6,10000,7.9,8,84473
70000,1,10000,9.91,9,84473
75600,9,10000,13.22,4,84475
75600,9,10000,6.62,4,84475
75600,9,10000,14.61,2,84475
65000,12,6500,6.03,7,84477
60000,5,5500,10.36,9,84478
90000,5,10000,7.51,3,84479
90000,5,10000,12.99,2,84479
90000,3,10000,8.49,2,84479
85000,1,9000,12.99,3,84479
70000,5,6500,7.14,2,84479
80000,6,7500,15.23,2,84480
80000,7,7500,11.71,2,84480
80000,7,7500,10.71,3,84480
80000,7,7500,10.99,3,84480
80000,7,7500,11.14,3,84480
80000,1,7500,8.32,4,84480
80000,7,7500,6.03,3,84480
80000,4,7500,8.63,4,84480
80000,4,7500,7.14,4,84480
71599,0,5000,9.63,3,84481
69996,5,3000,6.39,4,84481
69996,9,3000,6.03,3,84481
55000,2,3500,6.92,10,84481
50000,5,3000,11.99,8,84481
50000,5,3000,11.49,9,84481
50000,0,3000,12.99,7,84481
50000,4,3000,7.66,6,84481
70000,3,3000,6.03,3,84486
70000,9,3000,11.99,3,84486
70000,9,3000,7.68,4,84486
70000,5,3000,9.62,4,84486
70000,9,3000,6.76,2,84486
60000,4,2500,7.29,10,84486
60000,11,2500,12.69,10,84486
60000,4,2500,14.35,8,84486
51480,5,3000,16.89,10,84497
57000,8,9500,7.14,9,84518
72000,12,12650,10.65,8,84520
75000,9,9200,6.03,2,84526
65000,2,3200,5.42,10,84535
78411,5,1700,5.42,4,84543
104000,7,35000,16.49,4,84557
58000,10,14000,7.88,5,84560
57800,2,5000,10.37,10,84568
82500,8,14400,9.32,4,84571
60000,4,8400,7.49,5,84572
84000,7,12000,11.11,2,84575
84000,7,12000,13.16,4,84575
84000,3,12000,11.71,2,84575
84000,2,12000,7.49,2,84575
84000,4,12000,11.49,3,84575
92000,5,12000,6.62,4,84577
86000,6,10000,7.49,3,84578
81996,6,5600,12.53,4,84579
64000,4,5000,10.59,5,84580
60000,3,2400,10.99,5,84586
60000,4,2400,11.49,9,84586
78000,6,1200,9.63,2,84592
59600,8,1800,5.42,10,84608
51600,3,10800,10.36,13,84622
81960,7,9600,10.62,3,84631
60000,4,13750,7.51,13,84640
61848,13,5000,10.38,7,84659
62000,3,14500,11.49,7,84661
78000,1,12800,16.02,3,84672
50000,7,2800,5.99,5,84681
69000,3,5000,7.14,2,84682
78000,3,5000,7.49,4,84684
62400,3,12000,10.99,9,84686
48500,0,5000,8.49,12,84699
75000,6,24000,11.49,8,84705
54000,0,6000,9.32,15,84713
65000,13,9500,5.42,9,84722
55000,4,6000,7.9,9,84724
75000,0,9000,6.54,3,84726
75000,0,9000,7.49,4,84726
45000,0,3000,13.43,16,84729
80000,4,7250,15.65,3,84730
73000,9,6500,14.35,3,84730
78400,3,1500,7.29,2,84731
65000,11,3000,5.79,8,84735
65000,2,3000,6.99,10,84735
65000,1,3000,13.49,6,84735
65000,11,3000,11.49,9,84735
65000,2,3000,10.37,10,84735
65000,2,3000,11.71,10,84735
65000,1,3000,7.51,9,84735
65000,3,3000,13.49,9,84735
65000,11,3000,6.03,6,84735
67500,2,3000,9.91,4,84736
67500,1,3000,9.32,3,84736
66500,11,5000,7.75,5,84756
69996,10,13200,8.49,10,84762
72000,12,16000,11.49,5,84765
72000,12,16000,7.88,8,84765
72000,12,16000,7.88,8,84765
57996,2,8000,13.61,9,84765
57996,4,8000,13.23,8,84765
60000,7,11200,12.99,5,84766
63996,11,8000,8.0,8,84768
76000,0,14000,8.94,4,84769
58000,2,8000,5.42,10,84771
87000,3,15250,9.88,4,84772
54000,1,7000,13.98,7,84772
51996,7,3600,11.26,6,84773
79000,1,10000,14.65,4,84776
79000,6,10000,5.99,2,84776
68000,11,7000,7.14,5,84777
60000,5,5200,12.53,9,84778
55000,3,3200,13.92,9,84782
54996,5,12000,12.87,13,84783
62000,3,2000,10.62,10,84787
60000,4,16000,12.73,11,84790
79872,9,15000,11.48,2,84809
79000,0,6000,12.99,2,84832
62496,14,12000,6.91,8,84835
66560,11,5000,6.03,8,84837
57006,12,3500,11.86,5,84841
51000,4,12000,9.88,15,84858
64450,3,15000,12.73,7,84860
73500,3,18000,14.54,8,84862
69912,10,6000,5.42,2,84865
74000,6,15000,6.99,10,84867
73000,2,10000,7.66,4,84874
62000,2,5000,13.47,9,84879
60000,14,5100,11.12,5,84879
84000,6,7500,8.63,4,84881
69000,0,4800,7.14,4,84882
50000,5,2600,12.69,7,84882
68000,5,3500,12.69,2,84885
68000,10,3500,7.49,2,84885
48000,4,1500,13.92,12,84886
60000,17,13500,8.9,15,84891
85000,0,12800,14.74,3,84924
76268,2,18000,10.36,8,84926
78300,8,9000,7.88,3,84937
52000,2,2400,12.69,14,84955
70000,3,20000,13.49,8,84958
70000,1,20000,12.21,9,84958
70000,14,20000,11.71,10,84958
100000,4,30000,10.25,2,84960
75000,4,20000,13.49,6,84960
75000,12,20000,10.95,9,84960
75000,0,20000,11.11,10,84960
75000,2,20000,11.48,5,84960
75000,12,20000,9.76,7,84960
75000,5,20000,12.84,6,84960
75000,12,20000,7.88,10,84960
75000,2,20000,7.9,7,84960
85000,0,20000,11.36,7,94712
68340,0,18000,14.35,10,94717
55000,4,7000,6.54,13,94719
75000,5,10250,7.88,10,94722
72400,4,3000,7.9,6,94725
65000,0,6000,10.0,6,94726
65000,5,6000,7.51,5,94726
75000,0,6500,8.9,6,94728
77500,2,6000,14.65,4,94730
55000,18,1500,13.43,7,94736
52000,1,3000,14.35,16,94753
60000,4,10200,13.92,9,94765
72000,1,13200,12.99,5,94766
92000,7,11000,11.14,3,94776
72000,6,6000,5.42,6,94778
72000,12,6000,7.88,8,94778
72000,5,6000,11.99,8,94778
72000,6,6000,9.91,5,94778
72000,7,6000,11.49,6,94778
72000,4,6000,11.99,10,94778
72000,12,6000,7.14,7,94778
72000,12,6000,10.99,9,94778
85000,3,7200,10.99,4,94780
85000,7,7200,11.71,4,94780
85000,8,7200,9.88,2,94780
72000,4,2400,12.69,5,94787
60000,5,18000,10.99,16,94788
70000,12,20000,11.83,14,94789
60000,6,6000,9.62,14,94793
60000,2,6000,7.14,12,94793
60000,23,6000,7.37,13,94793
66352,15,8000,9.63,9,94818
95000,7,14400,10.65,3,94822
75000,2,6400,9.63,7,94828
75000,7,6400,13.47,8,94828
